gene_id,gene_name,abundance
b1276,acnA,468
b0965,yccU,468
b3729,glmS,467
b1864,yebC,466
b2600,tyrA,466
b3611,yibN,465
b0871,poxB,464
b2514,hisS,459
b3256,accC,459
b4234,yjgA,458
b2231,gyrA,456
b2114,metG,451
b3553,ghrB,450
b2557,purL,449
b2143,cdd,449
b3929,rraA,446
b3744,asnA,443
b1642,slyA,442
b4108,yjdM,440
b3560,glyQ,439
b1637,tyrS,439
b2989,yghU,435
b0337,codA,433
b4005,purD,432
b0643,ybeL,432
b3453,ugpB,430
b2599,pheA,428
b1084,rne,428
b1765,ydjA,427
b2525,fdx,425
b0860,artJ,425
b1743,spy,425
b0154,hemL,423
b0917,ycaR,423
b2477,bamC,418
b2513,yfgM,418
b3498,prlC,417
b0674,asnB,416
b0932,pepN,413
b0758,galT,412
b0078,ilvH,412
b4258,valS,411
b3847,pepQ,410
b3931,hslU,409
b1178,pliG,406
b4129,lysU,406
b2171,yeiP,404
b0710,ybgI,403
b1406,ydbC,403
b0181,lpxA,403
b1819,manZ,403
b1614,ydgA,401
b1221,narL,401
b3253,acuI,401
b2780,pyrG,401
b2959,yggL,401
b2891,prfB,401
b1259,yciG,400
b2976,glcB,398
b3234,degQ,395
b2234,nrdA,394
b2908,pepP,393
b3860,dsbA,392
b1095,fabF,390
b2516,rodZ,388
b3213,gltD,388
b1067,yceH,388
b0434,yajG,388
b4219,msrA,387
b3261,fis,387
b3035,tolC,385
b0584,fepA,385
b2924,mscS,384
b4153,frdB,383
b4174,hflK,383
b3600,mtlD,383
b1109,ndh,383
b0839,dacC,382
b4252,tabA,382
b1778,msrB,381
b1849,purT,380
b3156,yhbS,379
b1258,yciF,378
b1273,yciN,378
b0441,ppiD,375
b3742,mioC,371
b3042,yqiC,371
b2020,hisD,370
b2617,bamE,369
b2581,yfiF,369
b1613,manA,365
b2036,glf,365
b1263,trpD,365
b4214,cysQ,362
b1919,dcyD,359
b0168,map,356
b0759,galE,354
b3671,ilvB,353
b3001,gpr,352
b2343,yfcZ,349
b0469,apt,349
b0171,pyrH,349
b1847,yebF,346
b3212,gltB,345
b1492,gadC,342
b2039,rfbA,342
b0722,sdhD,340
b1446,ydcY,340
b1000,cbpA,340
b2661,gabD,340
b3092,uxaC,340
b4054,tyrB,339
b1232,purU,337
b3699,gyrB,335
b2937,speB,335
b2021,hisC,335
b2286,nuoC,333
b1603,pntA,333
